id,category,text,polarity
12,taste,"사진을 못찍었네용 ㅠㅠ 약간 공개된 공간이고 단체가 많아서 어수선한 느낌이 강하긴해요 !

제가 다른데서 어복쟁반을 보지도 못했고 먹어보는건 당연히 못했었는데 새로운느낌이였어요! 뭔가 마라탕 인데 베이스가 오뎅국물..?인느낌?ㅋㅋㅋㅋ거기에 전도 들어가있고..?비주얼이 엄청 이쁘진않았지만 맛은있었어요 

그리고 의외로 양이 적어서 저는 둘이가서 어복쟁반 먹고 불고기까지 먹었어요 ..ㅎ처음에 못먹는다해서 미뤘다가 결국 시켜서 다먹고 나왔습니다..ㅎ

대식가들~참고하세용 ㅋㅋㅋㅋㅋㅋ",1
13,taste,추운날 어복쟁반 따땃하고 자작하게 먹었어요 사리는 개인적으로 냉면사리보다 국수사리가 더 맛있는거 같아요,1
14,taste,냉면 포장해서 바로 먹었는데... 진짜 면도 퍼지고.. 냉면육수에서 약간 짜면서 냉냉한 맛이었네요~~ 저와 어머니 두젖가락 먹고 다 버림... 냉면 드시고 싶다고해서 포장했는데... 정말 실패입니다. 각자 맛은 다르니까~~,0
15,taste,뜨끈한 온반 맛나요,1
16,taste,음식 맛 좋아요 ,1
17,taste,소고기온반 뜨끈한 건강한 한그릇 좋습니다,1
18,taste,언제나 믿고 먹는 맛있는집,1
19,taste,"어북쟁반 만두전골
모두맛있어요",1
20,taste,슴슴한 평냉을 좋아하는데 다소 간이 세고 단짠 맛이 느껴져서 아쉬웠어요 만두가 정말 맛있었어요,1
21,taste,맛있어요~,1
23,taste,평양냉면 온반 맛있어요,1
24,taste,평양냉면(물)과 만두한접시. 만두는 옛날 할머니가해주시던맛. 두부소으깨서 고기와들어가고 쫄깃한 만두피. 간장도 간간하니 맛남. 냉면은 의례생각하는 그 아무맛안나는 국물아님. 확실히 간이 쎄다. 평냉초보자들이 접근하면 맛있는맛. 평양냉면은 먹기전날 술 이빠이먹고 속 니글니글한상태에서 아침에 에어컨틀어놓은 매장에서 국물 드링킹한후 동치미 김치같은거에 싸먹으면 다 맛있음. 한여름에 이렇게 3번만먹으면 매니아됨. 고로 평가옥도 맛있음. (레알평냉매니아한테는 별로임)그리고 친절하던데요?,1
25,taste,평양냉면인데 맛있어요. ,1
26,taste,"만두전골명품입니다
국물이짜지않아
나중에칼국수를넣어먹어도좋음",1
27,taste,깨끗하고 건강한맛. 주차가 불편함. 친절하지는 않음,1
28,taste,맛집 추천,1
29,taste,"평가옥 음식은 깔끔해요.
간도 세지 않고 뜨끈한 온반 한그릇 좋아요",1
30,taste,어복쟁반 맛있어요,1
31,taste,진짜 맛있게 잘 먹었습니다,1
32,taste,냉면 맛있습니다,1
33,taste,"소고기온반, 냉면, 만두4알, 녹두전1 주문해서 둘이 배부르게 먹었어요 평냉 간이 좀 센듯 하지만 맛있네요 녹두전 만두도 넘 맛있고 온반도 낄끔한 국물에 건더기가 푸짐해서 넘 잘먹고왔어요! ",1
34,taste,"어른들이 좋아하셔서 꼬박꼬박 갑니다. 
언제나 맛있어요. 만두전골이랑 평냉을 번갈아 먹습니다. ",1
35,taste,평냉은 쏘쏘.. 수육맛있어요,1
36,taste,어른들이 좋아해요~ 어복쟁반 국물이 살짝 매콤하지만 담백하니 건강한 느낌 ㅎㅎ 옛날보다 가격이 많이 오르긴 했어요 그래도 가끔 먹으면 맛있습니다,1
37,taste,"분당에서 오래된 평양냉면집
저녁 회식도 많이 하고 사람 많아요
평양냉면 맛이 심심해서 호불호가 있는데
간간 합니다
처음 평양냉면 드시는분들은 거부감 없을맛
다음엔 어복쟁반 꼭 먹어봐야 갰어요
처음 평양냉면 드시는분들은 거부감 없을맛",1
38,taste,평양냉면 맛있네요,1
39,taste,"거리두기 끝나고 오랜만에 왔는데
어복쟁반 역시 맛있어요",1
40,taste,신선한재료로 맛있어요,1
41,taste,평가옥 온반이 맛있어요,1
42,taste,"엄마 모시고 오랫만에 방문했은데 별루네요.
일단 가격이 너무 비싸요. 물가 올랐다하지만 이렇게 비쌀 이유 없어보이는데...
맛도 온전한 평양냉면맛 아니구 국물이 짜서 엄마도 나도 물 부어 먹었어요. 녹두전은 너무 작아서 하나 더시켰구요...  친절한 서비스 절대 없어요.
재방문 안할거 같아요.",0
43,taste,"어복쟁반 맛있게 먹은 기억 있어서 이번에는 만두전골 먹었는데 국물 캬~ 얼큰하면서 맛있네요!! 간이 세지 않고 딱 좋습니다! 
평양냉면은! 처음 먹어봤는데.. 더 먹어봐야하는 건지!",1
44,taste,미리 전화해두고 포장 픽업해갔어요. 시간 맞춰서 바로 준비해주셨고 친절하게 응대해주셔서 감사합니다. 만두 비싸지만 맛있어요!,1
45,taste,"몇년 전부터 가면 갈수록 맛이 이상해져요.
어느 순간부터 돼지냄새가 심해진 빈대떡, 그리고 몇년 만에 다시 찾아 온반을 시켰는데 만두에서까지 돼지냄새가 심하더라구요. 제 기억엔 만두 공장에서 납품 받는다 하셨는데 공장 바꾸시든 뭐든 하셔야 될꺼 같습니다. 제가 운이 안좋은지 갈때마다 음식에서 뭐가 나오네요. 빈대떡에 나무토막?은 왜 있는지 너무 궁금하네요ㅠㅠ",0
46,taste,온반 깊은맛이 좋아요,1
47,taste,만두전골도 어복쟁반도 다 맛있어요,1
48,taste,깔끔하고 담백한맛~~다시 방문하고싶은곳~~,1
49,taste,"평양냉면 좋아하고 맛집 찾아다니는 편입니다. 첫인상 불친절! 뭐 맛집은 불친절한가보다 하고 이해하려던 찰나 음식 나옴 물냉+편육 주문 
여기서 반전! 불친절한데 맛도 없는 거였음!! 맛이 없는 정도가 아닌 수준이하!! 육수 매우 짬! 깊은 맛 전무!  비린 내까지! 그릇마다 아줌마 엄지가 육수에 쑥 미끄러진 흔적! 가격만 우레옥이나 필동면옥보다 비쌈!! 진심 손절 각!!! 손님이 많은 게 하도 아상해서 나름 분석해보니 주변 길에 주차할 곳이 많음. 22년 상반기까지 최악의 음식점 매우 유력!!!",0
50,taste,맛있게 잘 먹었습니다 ,1
51,taste,맛나다,1
52,taste,맛있어요 어른부터 어린이 입맛까지 맞추기 좋아요,1
53,taste,어버이날 맞아 갔는데 가격대비 친절함과 위생이 별로였습니다. 대기 순서를 지켜주지 않아 40분넘게 기다리고 음식도 바쁘니 알아서 익혀먹으라고 하시고 냉면은 무맛.. 만두도 그닥..불고기는 맛있었어요. 그렇지만 직원 불친절함은...굳이 두번은 안갈 것 같습니다. ,0
54,taste,간이 좀 쎄요,0
55,taste,맛있어요,1
56,taste,평양냉면 맛집,1
57,taste,맛있습니다 ,1
58,taste,온반 맛있어요!,1
59,taste,너무 맛있어요! ,1
60,taste,"신선하고 맛은 있는데
냉면사리가 9천원… 금액 안보고 주문했더니 너무 비싸네요",1
61,taste,맛있어요 ,1
62,taste,맛있어요.,1
63,taste,맛은그럭저럭 인데  직원들불친절에 진짜밥맛떨어지네요  여기오너는 직원들이런불친절을 알고나있는지 의문이들어요,1
64,taste,가격은 확실히 비싼데 그래도 맛있어요.비빔냉면은 자극적이에요,1
65,taste,맛있어요 ,1
66,taste,"맛없어요
가지마세요
만두 비빔 평냉 모두 맛 없습니다!
능라도로 가세요!
입맛 버렸음 ㅠㅠ 
그렇다고 친절하지도 않습니다",0
67,taste,맛나요,1
68,taste,평양냉면이 맛있어요,1
69,taste,너무 맛있어요,1
70,taste,맛있어요,1
71,taste,항상 맛있게 먹고 직원 불친절 때문에 기분이 나빠져 나오는곳,1
72,taste,냉면 맛있어요,1
73,taste,맛있어요,1
74,taste,맛있어요. ,1
75,taste,"온반이 맛있어요.
만두, 어복쟁반도 인기 메뉴로 맛있는데
평가옥은 가격이 너무 비싸요..

그리고, 지점에 따라 매니저나 직원이 불친절한
분들이 있어서 때로는 기분이 많이 상합니다.",1
77,taste,불고기 한점 평양냉면과 같이 먹으면 너무 맛있어요!  평가옥 김치국뭍을 평양냉면 국물에 넣어 먹으면 더 감칠맛이 나요,1
78,taste,물냉비냉 맛나요,1
79,taste,맛나요,1
80,taste,맛있어요 ,1
81,taste,맛있어요????,1
82,taste,만두가 맛있어요 ,1
83,taste,평양냉면 육수맛이 좀 강하긴 했으나 너무 밍밍한 것 보단 좋았어요. 비빔냉면도 맵지 않고 맛있었구요. 소고기 수육은 약간 누린내가 나는 듯 하지만 맛은 괜찮았어요. 분당에 갈 일 있으면 재방문하고 싶네요.,1
84,taste,맛있어요 ,1
85,taste,음식은 맛있지만 종업원이 아주 불친절해요.,1
86,taste,온반 넘나 맛나요,1
87,taste,맛있어요 ,1
88,taste,"전체적으로 슴슴하지만 다 먹게되는...
자극적인 맛은 아닌데 뭔가 당기는 맛이에요
온반 토종닭 쫄깃하고 국물도 맛있어서
적정가격에 먹는 기분이었는데
개인적으로 평양냉면은 좀 비싼 느낌이에요
어복쟁반 먹고 싶었는데 너무 오랜만에 와서인지
기억이 잘못된것인지 많이 비싸졌네요 ㅜㅜ
이제 재방문은 못할것 같아요",1
89,taste,맛있어요,1
90,taste,온반 맛있어요,1
91,taste,동네 맛집인듯. 점심시간에 사람이 엄청 많다... 온반 포장해서 먹었는데 맛있었어요. 양도 많고. 만두랑 고기 당면 야채 버섯 들어가있는 국물요리,1
92,taste,"맛있어요^^
사람 항상 많지요^^",1
93,taste,어복쟁반 맛있어요~,1
94,taste,늘 맛있어요,1
95,taste,"맛의 편차가 심해요. 오늘은 물냉 너무 짰어요. 
그리고 기본적인 서비스가 안 좋아요.",0
96,taste,맛있어요 근데 우리가 알고있는 평양냉면은 아니에요 간도 쎄요,1
97,taste,맛나요,1
98,taste,"불고기 물냉면 녹두전  반찬 은 맛있어요 그러나 좌석간의
간격과 태이블이 너무  좁고 작아요 
가격이 있는 집 에 비해 불편하게 먹었어요
편하게 먹을 분위기는 아닌듯요",1
99,taste,너무너무 맛있어요,1
100,taste,평양냉면을 먹었는데 육수가 너무 짜고 고명고기가 나무 퍽퍽했습니다. 강남 을밀대 평냉과 비교해서 너무 맛이 떨어지네요,0
101,taste,어복쟁반 굿~!! 냉면사리도 굿!!,1
102,taste,"음식은 정말 맛나게 먹었습니다. 발렛도 해주시고
그런데 서빙해주시는 분 최악입니다. 곱빼기하나, 일반하나 시켜서 나와서 어떤게 곱빼기인가요? 여쭤보니 서빙직원 왈 ""보면알자나요!"" 주말 점심 냉면 먹으러 가서 기분 최악입니다. 
평냉 정말 좋아하는데 아무리 맛있어도 재방문 안합니다.",1
103,taste,맛있어요,1
104,taste,맛있어요,1
105,taste,"어복쟁반 포장해서 먹었는데, 괜찮았어요~~
부모님도 맛나게 드셨구요!
가격이 좀 비싼편이지만 테이크아웃해서
집에서 먹기 참 좋네요 :)",1
106,taste,맛있어요!,1
107,taste,평양냉면 맛있어여,1
108,taste,맛있어요,1
109,taste,"분당 찐맛집
어복쟁반 넘 맛있어요",1
110,taste,맛은 있는데 가격이 넘 올랐네요 ㅠㅠ,1
111,taste,어복쟁반이 국물이 깔끔하고 맛있어요.,1
112,taste,"물냉 비냉 먹었는데 물냉이 더 맛있네요.
김치도 깔끔하고 김칫국이랑 피클도 맛있네요.",1
114,taste,"맛있어요, 김치는 국내산^^",1
115,taste,맛있어서 자주가요 맛있어,1
116,taste,"평양식 냉면, 어복쟁반, 만두전골, 불고기, 녹두지짐 조금 비싸긴 한데, 다 맛있어요.",1
117,taste,일주일 안에 세번 방문포장 했어요ㅋㅋㅋ 온반 양도 많고 너무 맛있어요 ㅎㅎ 저희집은 양이 많지 않아서 1개 사면 네식구가 먹어요 ㅎㅎㅎ,1
118,taste,맛있어요,1
119,taste,항상 맛있게 먹는 집~,1
120,taste,"만두전골,어복쟁반 ,냉면추천이요",1
121,taste,"만두전골 먹으러 갔는데 진짜 맛있어요.
셋이서 전골 2인분에 녹두전 주문해서 먹었는데 전골 양이 푸짐해서 배부르게 먹었어요.
만두전골에 들어가는 고기도 좋은거같고 국물도 깔끔해서 자주 먹으러 갈거 같아요",1
122,taste,맛있어요,1
123,taste,소고기온반 맛좋아요. 여의도 평가옥보다 낫네요,1
124,taste,맛있습니다,1
125,taste,본점이라 더 맛있어요,1
126,taste,"비오면 생각나는 맛! 슴슴해서 더 좋아요. 소고기와 토종닭 두 종류가 있는데 매번 토종닭만 먹는 중. 닭고기가 쫄깃해서 맛있어요?
온반 한 그릇에 만두 하나 전 하나 그리고 닭고기와 버섯, 야채, 당면 정도가 들어있어서 
성인 남성 두 분이서 오셨다면 빈대떡도 시켜드셔야 배찰 것 같아요.
단골도 많고 보통 다들 여럿이서 오셔서, 혼밥 난이도 조금 높은 집ㅠㅠ(이지만 가능합니당 흐흐)",1
127,taste,정말 맛있습니다! 오랜만에 찾아갔는데도 예전에 먹던 그 맛 그대로네요 :),1
128,taste,오복쟁반 평양냉면 맛있게 잘 먹었습니다,1
129,taste,맛있어요,1
130,taste,"평양 냉면과 만두전골, 편육을 먹었어요. 맛있습니다.",1
131,taste,맛있어요,1
132,taste,늘 그 맛으로 변함 없는 맛집,1
133,taste,어복쟁반 맛있어요,1
134,taste,맛있어요,1
135,taste,약간 짠 맛이 있지만 먹을만 해요,1
136,taste,사장님이 되게 띠꺼워하면서 주문받고 계산하고 응대하셔서 부모님 모시고 가서 좀 그랫네요 ㅋㅋㅋㅋ 음식은 맛있는데 서비스는 그 질을 못 따라가요 싫어하는 친구가 밥사준다고 할 때 가세요 ㅋㅋㅋ,1
137,taste,존맛탱 평양냉면 녹두전 짱,1
138,taste,맛있어요 좋아요 굿이에요~',1
139,taste,맛있어요.,1
140,taste,맛있어요! 부드럽고 좋아요,1
141,taste,맛좋고 깔끔함,1
142,taste,"평냉은 여기가 최고!!어복쟁반도 끝내줘요!
다른지점보다 여기가 최고맛나요!",1
143,taste,평양냉면 넘 맛있어요~^^,1
144,taste,맛나게 잘 먹었어요! 가격대가 좀 있는 편이라 자주오긴 어려울 것 같습니다 ㅎㅎ,1
145,taste,평양냉면은 내 입맛에 안맞는듯..ㅠ.ㅠ,0
146,taste,",맛나요~ 잘먹고 갑니다",1
147,taste,"#파전(녹두지지미)
#쇠고기육개장
너무맛있어요
#가격도저렴
",1
148,taste,처음 먹어보는 평양냉면이었는데 제입맛엔 되게 좋았어요!! 글구 녹두전?도 있는데 크기 진짜 크고 엄청 맛있어요ㅜㅜ또 먹으러가고싶네용 ,1
149,taste,여기음식맛있네요,1
150,taste,이북의 맛. 가격이 조금 비싸지만 그만큼 양이 많습니다. 만두는 속이 꽉 차 있어 충분히 배부릅니다.,1
151,taste,맛있어요,1
152,taste,맛나요 평냉 짱,1
153,taste,맛나요,1
154,taste,맛있어요,1
155,taste,맛있어요,1
156,taste,슴슴한 평양냉면에 빠져드는 맛집,1
157,taste,평양냉면 실망이었습니다 ㅜ,0
158,taste,"담백한 맛이 일품이네요
가족들이랑 즐겁게 먹었습니다. 강추해요~",1
159,taste,맛있는데 가격은 부담이네요,1
