,id,category,text,polarity,trans_text
13,173,service,"수육이랑 물냉 비냉 먹었어요.
얇은 수육이 육수에 잠겨서 나오는데 색다르고 맛있었어요.

물냉은 다시는 안먹을 거 같아요. 비려요.
비냉은 먹을만해요.

서비스도 별로고 가격도 비싸서 인기많은 게 신기했어요.",0,"I ate boiled pork and spicy cold noodles.. The thin boiled pork was soaked in the broth, and it was different and delicious.. . I don't think I'll ever eat mulnaengmyeon again. It's fishy. Beef noodles are edible.. . It was amazing that it was popular because the service was not good and the price was expensive."
14,174,service,"솔직히 너무 불친절하고 맛은 비빔은폄범 물은

맛없음",0,"Honestly, it's so unkind and delicious. It's not delicious"
15,175,service,"음식은 괜찮았는데
종업원 아줌마들이 불친절함
교육이 필요해보임",0,The food was okay. The waitresses are unkind. Looks like education is needed
16,176,service,"음식은 정말 맛나게 먹었습니다. 발렛도 해주시고
그런데 서빙해주시는 분 최악입니다. 곱빼기하나, 일반하나 시켜서 나와서 어떤게 곱빼기인가요? 여쭤보니 서빙직원 왈 ""보면알자나요!"" 주말 점심 냉면 먹으러 가서 기분 최악입니다. 
평냉 정말 좋아하는데 아무리 맛있어도 재방문 안합니다.",0,"I really enjoyed the food. Do valet, too. But the person serving is the worst. Which one is double serving? When I asked, the serving staff said, ""I'll know when I see it!"" I feel terrible because I went to eat cold noodles for lunch on the weekend. I really like Pyeongnaengmyeon, but I don't revisit it no matter how good it is."
17,177,service,맛없어지고 직원도 너무 불친절하네요,0,It's not tasty and the staff is so friendly
18,178,service,주문하고 음식 나오는데 까지 50분이나 걸리네요. 직원실수인데도 사과도 없구 넘 불친절 해요. 만두에는 머리카락 같은것도 나오고 넘 최악이네요.,0,"It takes 50 minutes to order and serve food. It's an employee's mistake, but there's no apology and it's so unkind. Dumplings have hair and it's the worst."
19,180,service,"믿고 먹는 평가옥 
오랜만에 방문을 하게 되었어요...

헌데 오늘은 서비스가 너어무 아쉬웠습니다
홀서비스에 무엇을 요청드리던지 두번이상 말씀을 드려야 처리가 되었고, 무표정과 대답도 거의 없으셨어요....

다 드신 테이블 정리하는 그릇소리도 일부러 세게 놓으시는 것처럼 크게 들렸고 계속 신경이 쓰였습니다 (뭔가 힘든 일이 있으셨던걸까요)

더구나 오늘은 손님이 예전처럼 많은 상황도 아니었는데 부모님 두분 오시면 제대로 드실 수 있을까 하는 생각도 들고, 나이드신 어르신들이 많이 오시는 곳인데.. 이전에는 안그랬던 것 같은데 너무 아쉬운 서비스 개선해 주시면 감사드리겠습니다

맛은 4.5점
서비스 별점은 1.5점 드리고 싶습니다 ?

#평가옥본관 #어복쟁반 #온반 #평양냉면 #오늘의메뉴",0,"You can trust and eat it's an evaluation jade. It's been a while since I visited... But the service was very disappointing today. No matter what I asked Hall Service for, I had to tell them more than once, and there was little expression and no answer... ...the sound of the table-cleaning dish sounded loud as if you were putting it hard on purpose, and it kept bothering me. . Moreover, today, there were not as many customers as before, but I wonder if I can eat properly when my parents come, and it is a place where many elderly people come.. I don't think so before, but I'd appreciate it if you could improve the service. The taste is 4.5 points. I'd like to give you 1.5 points for the service?... #EobokTray #Onban #PyongyangCold Noodles #Today's Menu"
20,181,service,"가격대비 음식은 괜찮은 편이지만 직원 서비스는 최악입니다. 주문했는데 무표정에 답도 없이 가고,  또다른 분한테는 밑반찬을 요청하는데 말이 끝나기도전에 도중 가버리더군요. 반찬도 말 없이툭 가져다 놓고요. 내 돈내고 식사하면서 이렇게 무안하고 기분 더럽기는 처음이네요.  분당 평가옥 주차 봐주시는 분 빼곤 직원 서비스 꽝입니다. ",0,"The food is good for the price, but the staff service is the worst. I ordered it, but it went without a reply, and I asked another person for side dishes, but he left before I finished talking. He brought the side dishes without saying anything. I've never felt so embarrassed and dirty while eating with my own money.  Staff service is poor except for those who watch Bundang Evaluation House parking."
21,182,service,"맛 별로, 직원들 불친절... ",0,It doesn't taste good. The staff are unfriendly...
22,183,service,서비스가 최악이네요. 다시는 안갑니다. 30대 후반 인생에서 가장 불친절한 식당인듯,0,The service is the worst. I'll never go again. I think it's the most unfriendly restaurant in my late 30s
