id,category,text,trans_text
35,taste,"영통지역 감자탕계의 클래식
일단 맛 보시라~~",the classic of the gamjatang community in Yeongtong. Taste it first
36,taste,맛있어요~진짜진짜♡,"It's delicious. Really, really ♡"
37,taste,맛있게 먹었습니다! ,I enjoyed the meal!
38,taste,"주차도 가능하고
뼈감자탕 맛있어요
비오는 날씨랑 잘 맞아서인지
사람들이 계속 오더라구요
먹고 나니 속이 든든~",You can park. Pork back-bone stew is good. I don't know if it's because it goes well with the rainy weather. People kept coming. I feel full after eating it
39,taste,여긴 항상 맛있음.,It's always delicious here.
40,taste,감자탕 맛있어요 ,Pork back-bone stew is good
41,taste,"늘 포장해서 집에서 먹는데 진짜 맛있어요 
강추~~~^^",I always take it out and eat it at home. It's really good. I strongly recommend it~^^
42,taste,감자탕이 양도 많고 맛있어요,Pork back-bone stew has a lot and it's delicious
43,taste,맛있어용,It's good
44,taste,맛있습니다. ,It is delicious.
45,taste,해장 굳,Hangover hard
46,taste,감자탕이 맛있어요.,Pork back-bone stew is delicious.
47,taste,양도 푸짐하고 맛있어요,It's full and delicious
48,taste,맛있어요 ,It's good
49,taste,근처에세 젤 맛있는 뼈해장국집이예요~^^,It's the best pork rib hangover soup place nearby^^
50,taste,감자탕 정말 맛있어요,Pork back-bone stew is really good
51,taste,"정말 맛있어요 ㅜㅜㅜㅜㅜㅜ
짱",It's really good ㅜㅜ. cool
52,taste,"양이 푸짐하고, 자주가는 경희대 맛집!",Kyung Hee University's famous restaurant with plenty of food!
53,taste,"전골로 먹었는데 수제비, 당면, 감자, 무청 등 골고루 있고 뼈에 살도 많고 맛있게 먹었습니다. 손님이 많아 정신없이 바쁘지만 친절하시고 음식이 빨리 나오네요. 입식 테이블이 더 늘어나면 좋겠어요.
느끼하지 않고 맛있습니다?","I ate it as a hot pot, and there was a variety of sujebi, glass noodles, potatoes, radish, etc. and there was a lot of meat on the bones and I enjoyed it. I'm busy with a lot of customers, but you're kind and the food comes out quickly. I wish there were more standing tables.. It's not greasy and it's delicious?"
54,taste,"전엔 그릇 부딪히는 소리땜에
넘 짜증 났었는데...

지금은 그릇 부딪히지 않으려고 
조심 하는것 같긴 하네요

직원들이 친절하시고
밑반찬 풋고추가 싱싱하고 맛있어요
",Because of the sound of a bowl bump. I was so annoyed... but now I don't want to hit the plate. I think I'm being careful. . The staff are kind. The side dishes are fresh and delicious.
55,taste,맛있어요,It's good
56,taste,맛있어요.,It's good.
57,taste,맛있어요 ,It's good
58,taste,추억의 맛..ㅎ,Taste of old memories
59,taste,학교앞에 간단하게 먹기 좋은 해장국집이네요 양이 푸짐하고 맛있어요 산초를 쓰시는것 같은데 맛이 좀 강한편이예요 칼칼한 맛 좋아요,"It's a simple hangover soup place in front of the school It's full and delicious I think you use Sancho, but the taste is strong. I like the spicy taste"
60,taste,"늘 후회없는 선택~!!
진심으로 맛있고, 직원분이 모두 친절하십니다
후식으로 아이스크림과 커피도 무료~
",Always a choice without regrets! It's truly delicious and all the staff are kind. Ice cream and coffee are free for dessert.
61,taste,"대학교때 남자친구와 많이가던곳인데
남자친구가 남편이되어 추억팔이하러 종종 갑니다 여전히 맛있어요",I went there a lot with my boyfriend when I was in college. My boyfriend becomes my husband and often goes to look back on memories. It's still delicious
62,taste,맛있었어요.,It was delicious.
63,taste,맛있어요,It's good
64,taste,살이 가득가득한 맛있는 감자탕 ♡,A delicious pork back-bone stew full of flesh ♡
65,taste,맛있어요 깨끗하고좋아요,It's good. It's clean and nice
66,taste,맛있어요~^^,It's delicious. ^^
67,taste,맛있어요,It's good
68,taste,10년전이나 지금리나 변함없이 맛있는  곳!!!감사합니다.,It's a delicious place as it was 10 years ago and now!!!Thank you.
69,taste,언제 먹어도 맛나용,It's always good
70,taste,항상 잘 먹고 있어요! 주차하기도 좋고 맛있어요,I'm always eating well! It's good to park and it's delicious
71,taste,"
맛있어요 ",. It's good
72,taste,맛없어요 ,It's not good
73,taste,"정말 오랫만에 갔는데
좀 많이 매워진듯...
사장님도 바뀌신듯하고...
예전에 먹던 맛하고 비교는 좀 힘들고
먹을만 합니다~
뼈해장국 먹었습니다 ~","It's been a really long time. It seems like it's gotten a lot spicy... The boss seems to have changed, too... It's hard to compare with the taste I had before. It's okay to eatable. I had pork rib hangover soup ~"
74,taste,뼈해장국 맛있어요,Pork rib hangover soup is good
75,taste,맛있게 잘먹었네요,I enjoyed the meal
76,taste,맛있어요 ,It's good
77,taste,맛있어요 ,It's good
78,taste,"맛있어요,근데 왜 저번에도그렇ㄱ느 매번 제주문만 누락되서 늦게나오는지... 혼자가도 신경써 주세요ㅜㅜ","It's good, but why does it come out late because only Jeju Gate is missing last time... Please take care of me even if I go aloneㅜㅜ"
79,taste,맛나요,It's delicious
80,taste,맛있게 먹었어요,It was delicious
81,taste,맛나요 ,It's delicious
82,taste,"대학가 앞에 이렇게 푸짐하게 주시는 음식점이 있다니...
맛있게 먹고갑니다.",I can't believe there's such a generous restaurant in front of the university... I'm going to eat it deliciously.
83,taste,10년전  사무실이  근처에 있을때 부터 먹어왔던 최애 감자탕집~역시 아직도 변하지않고 맛있습니다. 감사합니다.,My favorite gamjatang restaurant that I've been eating since my office was nearby 10 years ago. It's still delicious. Thank you.
84,taste,국물맛이 최고다 진짜,The soup is the best
85,taste,맛있어요 ,It's good
86,taste,국물이칼칼하니맛있어요,It's good because the soup is spicy
87,taste,맛있어요~,It's good
88,taste,맛있어요. ,It's good.
89,taste,맛있어요 ,It's good
90,taste,맛있어요,It's good
91,taste,맛있어요 ,It's good
92,taste,맛있어요 ,It's good
93,taste,양도 많고 맛있어요 ,There's a lot and it's delicious
94,taste,음식이 맛있어요!!!,The food is delicious!!!
95,taste,맛나요,It's delicious
96,taste,맛있어요 ,It's good
97,taste,맛있어요 ,It's good
98,taste,맛있고 양도 많고 좋아요^^,"It's good, and it's a lot^^"
99,taste,"경희대생이라면 안먹어 본 사람이 없을 바로 그 식당!
전골도 좋고 뼈해장국도 맛있다
국물이 굉장히 진하고 고기도 많이 넣어주시고 맛있다. 
여름에만 하는 냉면이 진짜 굉장히 맛있음.",It's the restaurant that all Kyung Hee University students have tried! Hot pot is good and bone hangover soup is good. The soup is very thick and they put a lot of meat in it and it's delicious. . Cold noodles made only in the summer are really good.
100,taste,맛있어요,It's good
101,taste,"뼈다귀전골 소 사이즈 ,  당면도 푸짐하고 수제비 사리 넘 맛있었어요. 뼈다귀 큰거 4개 들어있어 완전 배부르게 먹었어요 , 볶음밥 김치랑 야채 많아 추천해요! ","The small size of the bone hot pot, plenty of glass noodles, and the sujebi noodles were so good. There are 4 large bones in it, so I ate my fill. I recommend fried rice kimchi and many vegetables!"
102,taste,가격도 합리적이고 깔끔하네요~ 약간 짜긴해요~^^ 맛있어요~,The price is reasonable and clean It's a bit salty^^ It's good
103,taste,맛있어요 ,It's good
104,taste,맛있어요,It's good
105,taste,전골도 맛있고 찜도 맛있어요~,Hot pot is good and steamed is good too
106,taste,뼈해장국 맛있게 먹었어요. 직원분들도 친절해요,"I enjoyed the pork rib hangover soup. The staff are kind, too"
107,taste,맛있어요 ,It's good
108,taste,맛나네요 ,It's delicious
109,taste," 딸아이가 감자탕을 좋아해 매번 찾는곳인데 역시나 맛있게 먹고 왔네요! 
경희대정문 뼈다귀전골수누리 많이 이용해 주시고

음주시 기사팔팔대리운전 기억해 주세요!
1666-9488 기사팔팔 대리운전도
많은 애용 부탁드려요! 안전하게 모십니다!
서울경기 마일리지 10% 현금적립!~~^^","My daughter likes gamjatang, so I always visit this place, but as expected, she ate it deliciously. Please use Kyung Hee University's Jeongmun Bone Stew Nuri a lot. Please remember to drive on behalf of the driver when you drink! 1666-9488 chauffeur service map. Please use it a lot! We'll keep you safe! Seoul Gyeonggi mileage 10% cash reserve~^^"
110,taste,맛있어요,It's good
111,taste,맛있어요,It's good
112,taste,맛있어요 ,It's good
113,taste,가서만 먹다가 처음으로 포장했는데 일인분 포장에도 완전 푸짐하네요 김치도주시고 맛은 항상 맛있어요 포장으로 이렇게 만족해본건 처음이에요,"It's my first time eating it there, and it's packed for one person. They give me kimchi and it's always delicious It's my first time being satisfied with packaging"
114,taste,맛있어요,It's good
115,taste,맛나요,It's delicious
116,taste,맛집이요!!,A good restaurant!!
117,taste,맛있어요,It's good
118,taste,은근 냉면 맛집임. 여름에 뼈해장국 하나랑 냉면 하나 시켜서 먹으면 존맛탱구리?냉면이 진짜 맛있습니당??,"It's a good naengmyeon restaurant. If you order a pork rib hangover soup and a cold noodle in summer, the tanguri ? cold noodle is really delicious.??"
119,taste,맛있어요 푸짐,It's delicious. Plenty
120,taste,맛있어요,It's good
121,taste,맛있어요,It's good
122,taste,맛있어요,It's good
123,taste,맛있어요 ,It's good
124,taste,맛있어요~,It's good
125,taste,"맛있어요  양도 많고
시래기도 맛남",It's good. There's a lot. The dried radish greens are good too
126,taste,맛있어요 양도 푸짐해요 친절하세요,It's good. It's a lot. You're kind
127,taste,음식이 맛있고 친절해요,The food is delicious and kind
128,taste,잘 먹었어요~,Thank you for the food
129,taste,음식이 맛있어요,The food is delicious
130,taste,맛있어요!! 식당이 넓어서 단체 회식하기도 좋을듯^^,"It's delicious! The restaurant is spacious, so it's good for a group dinner. ^^"
131,taste,맛있어요,It's good
132,taste,맛있어요  ,It's good
133,taste,맛있어요 ,It's good
134,taste,맛있고 친절하세요!,Delicious and kind!
135,taste,맛있어요 ,It's good
136,taste,맛있어요,It's good
137,taste,맛있어서 자주가요,I go there often because it's delicious
138,taste,맛있어요 ,It's good
139,taste,음식이  맛있어요,The food is delicious
140,taste,맛있어요,It's good
141,taste,맛있어요 ,It's good
142,taste,맛있어요,It's good
143,taste,뼈다귀햐장국 맛있고 여름 냉면 시작하셨는데 기대 안했다가 정말 맛있게 먹었네요. ^^,"Bone chicken soup is delicious and you started eating cold noodles in summer, but you didn't expect it, but you really enjoyed it. ^^"
144,taste,맛나게 먹었어요 ~,It was delicious ~
145,taste,맛있어요~,It's good
146,taste,맛있어요,It's good
147,taste,뼈해장국   시래기가 정말 부드럽고 맛있네요.~~^♡,Pork rib hangover soup dried radish greens are really soft and delicious.~~^♡
148,taste,맛있게 잘 먹고 왔어요,I enjoyed the food
149,taste,뼈다귀 해장국 맛있어요!,The bone hangover soup is good!
150,taste,맛있어요. 포장도되요^^,It's delicious. You can take it out. ^^
151,taste,맛있어요^^,It's good ^^
152,taste,뼈다귀 해장국 맛있어요...,Bone hangover soup is good...
153,taste,맛있어요,It's good
154,taste,맛있어요,It's good
155,taste,맛있어요 ,It's good
156,taste,맛있어요,It's good
157,taste,맛있어요!,It's good!
158,taste,맛있어요,It's good
159,taste,감자탕 맛있어요~,Pork back-bone stew is good
160,taste,맛나요,It's delicious
161,taste,해장국 정말 맛있어요???,Hangover soup is really good???
162,taste,감자탕 포장 맛있어요,Pork back-bone stew packaging is good
163,taste,맛있네요,It's delicious.
164,taste,맛있어요 ,It's good
165,taste,맛있어요~,It's good
166,taste,맛있어요 ,It's good
167,taste,"역시 감자탕은 수누리예요!!
다른 지역에 사는데 수누리감자탕이 생각나서 영통까지 왔네요~~~
살도 많은 맛도 좋고!!","As expected, pork back-bone stew is Sunuri! I live in another area, but I came to Yeongtong because I thought of Sunuri Gamjatang. It tastes good with a lot of flesh!!"
168,taste,맛있어요,It's good
169,taste,가격이 최근에 올라서아쉽지만ㅜ 늘 맛있어요,"Unfortunately, the price has risen recently, but it's always delicious"
170,taste,늘 사람이 많아요. 맛있어요.,There's always a lot of people. It's good.
171,taste,맛있어요 ,It's good
172,taste,친절하고맛나요,Kind and delicious
173,taste,여전히 맛나용,It's still good
174,taste,맛있어요~~,It's delicious
175,taste,볶음밥이 조금 아쉬웠어요,I was a bit disappointed with the fried rice
176,taste,맛있습니다,It is delicious.
177,taste,맛있어요,It's good
178,taste,"포장했는데 양도 많고 너무 맛있어요!!! 
오래오래 장사해주세요?","It's packed, but it's a lot and it's so good!!! . Please do business for a long time?"
179,taste,맛있습니다~!,It's delicious!
180,taste,음식이  맛있어요,The food is delicious
181,taste,자주 먹으러 갑니다 항상 맛있어요,I go to eat it often. It's always good
182,taste,맛있어요! 고기 짱마나여,It's good! The meat is the best
183,taste,"다수의 종업원들이 너무 시끄러웠어요
목소리 쩌렁쩌렁.  치우는데 집기류를 거의 집어던지는 수준 .. 그거빼곤 맛있고 양많고 괜찮았어요","Many of the employees were too loud. with a loud voice.  It's like throwing away furniture to clean up.. Other than that, it was good. It was a lot"
184,taste,맛있었어요,It was delicious
185,taste,"잘먹었어요,깨끗해요",Thank you for the food. It's clean
186,taste,맛있는데 조금 느끼해용 ㅠ,"It's good, but it's a little greasy"
187,taste,양많고 맛있어요,It's a lot and delicious
188,taste,양이많고 국물도 맛있어요! 둘이 소자먹었는데 볶음밥을못먹어 아쉽.. ㅠㅠ 넘맛났어요!!!,It's a lot and the soup is delicious! It's sad that we couldn't eat fried rice even though we ate small portions.. It was so good!!!
189,taste,음식이  맛있어요,The food is delicious
190,taste,"감자탕먹고 라면사리 볶음밥까지 다 맛있어요^^
15년 단골집ㅋ",Pork back-bone stew and ramen noodles and fried rice are all delicious^^. 15 years old hangout lol
191,taste,맛있어요,It's good
192,taste,맛있어요,It's good
193,taste,맛있어요,It's good
194,taste,맛있어요. 자주 가는 맛집,It's good. The restaurant I go often goes to
195,taste,맛있어요,It's good
196,taste,우거지가 질겨요,It's tough
197,taste,맛있게 잘 먹었습니다,I really enjoyed the meal.
198,taste,괜찮았어요 고기도 부드럽고 좋았어요 반찬으로나온 문도 맛있었어요,"It was okay. The meat was soft and nice The door served as a side dish was good, too"
199,taste,맛있습니다.,It is delicious.
200,taste,뼈해장국 맛있어요,Pork rib hangover soup is good
201,taste,맛있어요,It's good
202,taste,어릴적 늘 맛있게먹던곳이너요,You're the place I used to eat deliciously when I was young
203,taste,감자탕이 맛좋아요,I like gamjatang
204,taste,맛있어요,It's good
205,taste,맛있고 양도 많아서 좋아요,It's good because it's delicious and there's a lot
206,taste,맛있어요,It's good
207,taste,맛있어요,It's good
208,taste,맛있어요,It's good
209,taste,싸고맛있어요.,It's cheap and delicious.
210,taste,맛있어요,It's good
211,taste,맛나요,It's delicious
212,taste,맛있어요,It's good
213,taste,진짜맛나더라구요~^^,It was really delicious^^
214,taste,늘 맛있는곳 ♥,Always delicious place ♥
215,taste,영통 맛집입니다!!,It's a famous video call restaurant!!
216,taste,맛있어요,It's good
217,taste,맛있어요,It's good
218,taste,맛있어요,It's good
219,taste,뼈해장국 맛집,Good restaurant for pork rib hangover soup
220,taste,맛있고 직원분들 일 짱 잘하심!!,It's delicious and the staff are doing a great job!!
221,taste,맛있어요,It's good
222,taste,맛있어요 ?,It's delicious ?
223,taste,"뼈해장국 맛있어요!
뼈에 붙은 고기도 두툼하고 얼큰하고 맛있게 먹었어요. 겉절이도 맛있네요~~

#경희대맛집 #뼈해장국","Pork rib hangover soup is delicious! The meat on the bones was thick, spicy, and delicious. Geotjeori is good too~~... #KyungheedaeFamousRestaurant #Bone Hangover Soup"
224,taste,"포장했는데 고기 살도 많고 국물도 맛나요!!
구우루웃!","It's packed, but there's a lot of meat and the soup tastes good! Good boy!"
225,taste,맛있어요,It's good
226,taste,감자탕의 맛집♡♡♡,Good restaurant for gamjatang ♡♡♡
227,taste,감자뼈 짱 크고 맛있어용,Potato bones are so big and delicious
228,taste,맛있어요,It's good
229,taste,뼈해장국 정말 맛있어요,Pork rib hangover soup is really good
230,taste,"개인적으로 제일 입맛에 잘맞아서 테이크아웃해서 자주 먹어요.
자주 사다먹어서 통은 항상 챙겨갑니다^^","Personally, it suits my taste the best, so I take out and eat it often.. I buy and eat it often, so I always bring the container^^"
231,taste,맛나요,It's delicious
232,taste,정말국물이맛있고 특히직접담근김치가일품,"The soup is really good. Especially, kimchi made by myself is the best"
233,taste,맛있어요,It's good
234,taste,맛있어요,It's good
235,taste,양 많아서 좋은데 시래기 질겨요,"It's good because there's a lot, but the dried radish leaves are tough"
236,taste,맛나요.김치 깍두기 짱요~,It's delicious. Kimchi kkakdugi is the best
237,taste,"감자탕 맛있어요.(포장해왔어요)
깎뚜기는 망했어요^^

고추에 맛나게 먹었어용",Pork back-bone stew is delicious. The claw is ruined ^^. . I enjoyed the chili pepper
238,taste,"존맛입니다 
다음엔 뼈순이 비빔밥 먹어봐야겠어요 
식후에 아이스크림도 개이득 ㅎㅎ",It's so good. I'll try the boneless bibimbap next time. Ice cream is also very good after a lot of course
239,taste,맛있어요,It's good
240,taste,맛있어요!!,It's good!!
241,taste,맛있어요,It's good
242,taste,"뼈해장국  냄새도 안나고  맛있어요
배추시래기가  부드럽고요",It doesn't smell like pork rib hangover soup. It's delicious. The cabbage is soft
243,taste,맛있어요,It's good
244,taste,맛있어요~ 뼈해장국 먹었는데 고기도 적당히 들어있어요!!,"It's good! I ate pork rib hangover soup, but there's a moderate amount of meat in it!!"
245,taste,맛있어요,It's good
246,taste,맛있어요,It's good
247,taste,양도 많고 맛있어요~,There's a lot and it's delicious
248,taste,맛있어요,It's good
249,taste,맛있어요,It's good
250,taste,오늘은 밥이  맛이 없네요,The rice is not good today
251,taste,뼈찜은 조금 짜지만 해장국은 정말 맛나요~~,"Steamed bones are a little salty, but hangover soup is really delicious"
252,taste,맛있어요,It's good
253,taste,맛있어요,It's good
254,taste,맛있어요,It's good
255,taste,"뼈에서 약간 냄새는 나는데
전체적으로 맛있어요","My bones smell a little. Overall, it's good"
256,taste,맛있어요^^,It's good ^^
257,taste,진짜 존맛탱 집이에용!!!!,It's so delicious!!!!
258,taste,맛있어요,It's good
259,taste,자주 먹습니다 맛은 괜찮아요,I eat it often. It tastes good
260,taste,고기가 부드럽고 국물이 찐해서  정말 밋있어요^^,"The meat is soft and the soup is thick, so it's really good^^"
261,taste,해장국곱배기 양도많고  넘맛나요,There's a lot of hangover soup and it's so good
262,taste,푸짐하고 맛있어요ㆍㆍ친절한 직원분들때문이라도 자주들리고싶네요^^,It's full and delicious·· I want to visit you often even because of the friendly staff^^
263,taste,"포장해서 집에와서 먹어요
정말 맛있어요 ㅋ",I pack it up and eat it when I get home. It's really good K
264,taste,양도 많고 맛있어요,There's a lot and it's delicious
265,taste,맛있었어요^^ 완뚝!,It was delicious. ^^ Thump!
266,taste,최애 감자탕 맛집 :),My favorite gamjatang restaurant :)
267,taste,김치도 맛있고 맛있어요~~^^,Kimchi is delicious~~^^
268,taste,맛있어서 자주 방문하는 곳이에용ㅎ,"It's delicious, so I often visit it"
269,taste,고기도 많고 맛있어요,There's a lot of meat and it's delicious
270,taste,여기 진짜 맛있어요,This place is really good
271,taste,맛있어요,It's good
272,taste,맛있게 먹었어요,It was delicious
273,taste,맛있어요 경희대앞 맛집,It's good. The restaurant in front of Kyung Hee University
274,taste,양 많고 맛있어요~,It's a lot and delicious
275,taste,국물이 끝내줘요~,The soup is amazing
276,taste,맛있어요,It's good
277,taste,맛있어요,It's good
278,taste,맛있어요!,It's good!
279,taste,"홀 자리에 식탁이있으니 
편안히앉을수있어서 좋았어요.
맛은 늘 최곱니다.
",There's a table in the hall. It was nice to be able to sit comfortably.. The taste is always the best..
280,taste,맛있어요,It's good
281,taste,진짜 맛있어요,It's really good
282,taste,맛있어요,It's good
283,taste,언제 뭘 먹어도 맛있습니다.,"Whatever you eat, it's delicious."
284,taste,맛있긴한데 아무리 끓여도 배추시래기가 살아있어서 넘 찔겼어요,"It's good, but no matter how much I boil it, the cabbage was still alive, so it got poked"
285,taste,영통에 마땅히 아는 맛집이 없다면 추천,"If you don't know any good restaurants in Yeongtong, I recommend it"
286,taste,맛있어요,It's good
287,taste,"갈 때마다 사람들이 많아서 북적북적.
특히 경희대 국제캠 학생들이 많아요.
장소가 넓어서 많은 사람들 모임 때 최상.
시장기가 돌 때 더 맛있는 뼈다귀해장국이죠.","Every time I go, there are so many people, so it's crowded.. Especially, there are many students at Kyung Hee University International Campus.. The place is spacious, so it's the best for a lot of people's gatherings.. It's a bone hangover soup that tastes better when you're hungry."
